,XMD11-85h,Seliciclib,Masitinib,I-BET-762,CD532,Wee1 Inhibitor,FMK,Nilotinib,QS11,HG6-64-1,Selumetinib,Tipifarnib,AR-42,Bicalutamide,VX-702,NPK76-II-72-1,Apitolisib,AGI-6780,GSK1059615,YM201636,WZ3105,KIN001-244,NSC-207895,NVP-TAE684,CHIR-99021,Lestaurtinib,BAM7,DMOG,ARRY-520,NSC-87877,AS601245,A-770041,PAC-1,PFI-3,Thapsigargin,SL0101,Y-39983,XMD13-2,SN-38,Foretinib,CI-1040,Temsirolimus,GNF-2,Alisertib,Ruxolitinib,Lenalidomide,Piperlongumine,TPCA-1,FH535,QL-XI-92,Cyclopamine,Serdemetan,Imatinib,Linifanib,VX-11e,Enzastaurin,PI-103,Dactolisib,Rapamycin,Voxtalisib,WH-4-023,BX-912,CGP-082996,IC-87114,JQ1,JNK Inhibitor VIII,NU7441,LFM-A13,Pemetrexed,SB590885,MG-132,HG-5-88-01,Fedratinib,Talazoparib,Belinostat,Embelin,Parthenolide,AT-7519,Cytarabine,Docetaxel,GSK269962A,GSK690693,UNC0638,Phenformin,Vinblastine,GW441756,BX795,PF-562271,MK-2206,UNC1215,Bryostatin 1,PLX-4720,RO-3306,GW843682X,IOX2,Ponatinib,IPA-3,Entinostat,5-Fluorouracil,AICA Ribonucleotide,Ara-G,SGC0946,Cabozantinib,MIM1,TWS119,Tretinoin,SNX-2112,AZ628,Elesclomol,A-83-01,GSK1904529A,BMS-754807,Omipalisib,PD173074,TGX221,Mitomycin-C,Torin 2,Trametinib,GSK319347A,Dasatinib,PF-4708671,PHA-665752,EHT-1864,Bleomycin,AS605240,AST-1306,Erlotinib,NVP-BHG712,SU11274,Tenovin-6,XMD8-85,Sunitinib,MPS-1-IN-1,AZD7762,Palbociclib,PD0325901,JW-7-24-1,Wnt-C59,ACY-1215,PHA-793887,Flavopiridol,OSI-930,Saracatinib,ZG-10,A-443654,PIK-93,Tivozanib,OSI-027,Veliparib,ZM447439,AZD6738,AZD6482,SB216763,(5Z)-7-Oxozeaenol,CCT007093,Avagacestat,CP724714,FR-180204,BI-2536,Tamoxifen,Mirin,GW-2580,BIX02189,CAY10603,GSK429286A,PFI-1,Trichostatin A,WYE-125132,ZSTK474,AZD8186,Obatoclax Mesylate,QL-X-138,TAK-715,BMS-345541,Amuvatinib,AT7867,Linsitinib,Dabrafenib,Crizotinib,XAV939,YK-4-279,Epothilone B,Refametinib,KIN001-260,Navitoclax,Vorinostat,CCT-018159,kb NB 142-70,Bosutinib,Cetuximab,NSC319726,S-Trityl-L-cysteine,STF-62247,Nutlin-3a (-),WHI-P97,Etoposide,AKT inhibitor VIII,GSK650394,Pazopanib,Lapatinib,HG-5-113-01,Quizartinib,ETP-45835,KU-55933,Gemcitabine,CI-1033,Rucaparib,Dacinostat,C-75,CP466722,BMS-509744,AZD8055,FTI-277,Midostaurin,Selisistat,Tanespimycin,Tubastatin A,CPI-613,JNJ38877605,Sphingosine Kinase 1 Inhibitor II,Pictilisib,Luminespib,Pilaralisib,Vismodegib,Doramapimod,PF-00299804,TW 37,Tozasertib,Zibotentan,KIN001-266,JNK-9L,LDN-193189,Pevonedistat,BMS-536924,Bortezomib,Pelitinib,Daporinad,CUDC-101,Bexarotene,GSK1070916,T0901317,Gefitinib,OSU-03012,Idelalisib,Vinorelbine,Axitinib,QL-XII-47,XMD14-99,Shikonin,Paclitaxel,Sepantronium bromide,LGK974,Venotoclax,XMD8-92,Doxorubicin,Pyrimethamine,Alectinib,Ispinesib Mesylate,Methotrexate,AZD1480,Z-LLNle-CHO,KIN001-270,Salubrinal,Sorafenib,Panobinostat,Afatinib,SB505124,Temozolomide,Kobe2602,BAY-61-3606,CMK,Motesanib,NG-25,IMD-0354,FTY-720,UNC0642,CGP-60474,RU-SKI 43,CAY10566,BIBF-1120,CX-5461,Olaparib,LCL161
1331038,3.561232,2.214817,2.708513,0.641709,-0.034399,2.865578,4.118316,,-0.026315,0.839032,2.808415,-0.27986,-3.149286,3.982742,,-0.270614,-0.801336,1.476757,-0.158536,0.704068,-2.057528,1.250958,2.991326,1.507009,4.079947,,3.522511,4.920035,-4.257273,4.882529,1.964603,0.534732,-0.322506,4.014132,-5.167088,4.452594,0.609001,0.066618,-3.633365,-1.115517,,,1.710535,0.951751,3.79705,,2.718021,0.881371,1.599875,0.760815,4.946864,4.444623,2.877152,2.100594,0.302063,2.966817,-2.661081,-1.872852,,3.985852,2.682974,0.614777,1.561596,4.920604,1.889509,4.474983,2.830173,3.043983,-0.40097,3.307127,-1.381814,3.626863,0.412493,1.881259,-2.975586,1.324852,0.733855,-2.4697,,,2.493779,1.704195,2.234228,2.896756,,,3.354823,1.548654,3.509961,2.08834,-5.711929,3.504549,3.78833,-4.756517,-0.310908,-0.726785,0.930692,-1.873755,2.653105,,4.869402,1.113625,1.557281,1.361537,3.705454,,-3.118443,0.140167,,2.606524,1.798751,0.613848,-4.98063,2.627903,3.854188,-1.836138,-2.647507,0.774218,2.544824,0.764931,3.890187,2.48417,3.301864,0.617936,0.174873,1.831348,1.548118,-0.051126,3.571697,0.461395,1.01256,1.212524,2.390001,-0.604549,3.112607,1.149619,-0.50099,2.064236,-0.042897,0.325198,-3.104514,0.689239,2.413818,1.697374,-2.676297,0.371764,-1.403896,-2.531805,,1.61836,1.192784,1.920885,,0.917339,,3.738773,2.47073,5.181903,-4.26122,3.382853,3.636707,5.181903,3.102875,-2.258147,2.323618,1.542773,-3.487368,-2.293525,-1.410153,2.351585,-3.523407,-1.993482,2.375235,1.429954,2.782513,1.39805,2.294927,4.174802,1.318903,3.613351,3.924678,-4.905918,2.930795,2.825701,-0.888375,,3.162111,1.095068,,6.289397,-8.153624,-0.16258,4.08609,4.221132,4.512151,-1.134291,1.277937,2.926696,0.232139,1.206511,1.640395,1.39941,4.321463,4.455708,-1.924009,1.562551,3.776595,-4.201798,2.413662,0.923914,2.610632,-0.022045,1.944106,-0.595054,5.079667,1.713311,1.42288,4.352694,3.923278,2.068034,2.044852,-3.756764,3.344531,,4.472741,1.724323,-0.189091,-2.657604,4.35117,2.259227,-1.396171,-0.515862,-0.376955,3.16199,-7.104091,0.022113,,-3.754509,1.8814,,-0.776778,,0.351497,2.402862,-4.515374,,-1.894195,3.475054,-0.890574,-4.056076,-5.528524,2.33126,0.772243,2.176786,-1.650573,2.184561,2.709678,-3.379679,,2.417555,-0.709711,3.22844,1.764998,0.228752,-4.623755,3.597,4.077455,5.04261,3.773212,0.949711,-0.030061,2.84469,1.284265,0.137692,0.76989,1.367435,-3.888038,2.108039,2.214236,2.969052,0.757583,2.501148,3.59151
905947,,,1.813838,3.13915,0.446704,1.205337,3.73272,2.8806,0.205046,-1.251666,1.342696,-2.012398,-0.808134,4.309257,2.410589,3.173314,-0.079199,1.192347,0.504644,0.987519,-0.073206,2.757084,2.518288,,2.404146,0.102973,3.178367,8.425597,-5.971912,1.725767,0.917259,,-0.217272,4.409379,-6.992815,3.847561,3.452985,1.950236,-5.305187,-0.777388,1.123608,-3.316288,,0.669137,3.593159,3.511916,0.65823,2.399629,1.249276,2.525359,,0.632126,,1.44902,1.585988,1.416355,-1.936255,-3.460744,,4.508844,,1.909621,,4.598718,2.104078,3.916613,1.333568,3.461394,0.965781,2.996332,,,0.636655,2.539676,-0.386706,2.26801,,-0.288367,-0.452194,-4.906184,1.4288,0.198856,2.022738,6.551084,-4.096194,2.053218,1.651323,0.830883,1.328926,2.046909,-4.664724,4.775995,2.634283,,-0.231048,-1.1936,1.03727,,1.249657,7.081498,4.850572,1.210199,2.106835,2.965938,1.993487,3.507286,-2.381107,,-4.355285,3.233067,0.921877,0.042572,-3.157812,2.448541,,-2.700284,-1.548043,-1.293441,,,1.419829,,1.814983,-1.923449,2.287107,1.220756,,2.793047,2.359746,1.236256,,,2.87973,-1.293562,0.270055,-1.559271,-0.687926,1.884771,1.672685,0.928581,-2.180749,3.768429,,,,3.049412,-0.327853,-1.210323,2.890837,1.943564,1.149081,0.693221,4.234943,0.769173,1.988179,-1.039088,3.537151,4.526236,,3.132674,4.159607,4.438273,3.051288,0.017785,4.035863,2.035332,-1.861936,-1.418549,-0.846089,1.446859,-4.28424,-0.335414,3.101393,1.57614,3.833265,1.958469,1.706138,3.298694,,3.6703,1.203714,-9.178483,0.957349,4.720063,2.684913,1.615999,1.228546,1.96059,1.196352,4.925803,-4.659917,,2.314637,3.292145,2.939228,-0.64206,0.49891,0.621753,2.217989,,,2.126127,4.430436,3.479223,-4.786462,2.018949,3.292503,-4.475928,5.17267,1.346994,,0.116717,2.198793,-1.214262,4.693591,-2.062292,4.038341,5.115884,3.462916,3.034294,1.617956,-5.433559,2.995737,4.390362,3.865367,1.733462,1.026591,,4.490249,2.814786,-1.171269,-0.594604,-1.042609,2.250121,,0.252796,-4.028967,-0.980266,2.262509,0.193521,3.791898,-0.286388,-0.59197,2.98601,-5.58407,,-1.910948,2.598921,-0.410055,,-5.549355,2.328458,0.38258,,-2.91479,,3.583573,-4.688092,-1.374912,1.788101,,4.281293,,,-2.817141,3.210865,3.880956,4.349143,3.112532,0.350281,,2.193975,2.035969,-0.103837,1.350686,1.413647,,4.139182,2.894167,1.508526,0.893746,3.065328,3.530518
907286,2.835924,,3.036519,2.577137,0.325957,2.889725,3.899041,3.132828,2.002772,0.940632,1.116615,0.791883,-0.748312,2.545876,3.00465,2.067981,-0.189856,1.309673,-0.571616,2.268627,-2.025541,3.669515,4.100418,,3.884497,0.13697,5.354678,5.24278,-4.396516,5.72069,1.318078,,3.408635,,-5.02544,4.562294,3.35885,2.363617,-6.147021,-0.729852,-0.000255,-1.496398,,0.000571,3.082126,3.54296,1.045929,0.441184,0.185746,3.016793,,3.711145,,1.38866,0.317385,1.254522,2.636797,-2.251946,,4.700974,,0.811341,,5.199823,0.18931,4.873353,2.584067,3.85803,3.795128,4.390229,,0.959538,1.596474,0.758202,-0.605764,1.978493,,-1.347486,-1.406228,-5.136319,0.598829,3.405558,2.524545,5.935526,-3.8729,2.789054,2.078531,1.805611,1.614525,,-2.956104,3.264815,2.663015,,-1.665225,1.63654,3.534794,,0.615786,8.841776,5.515579,,2.563,4.016498,2.551658,3.14239,-2.527552,,-3.698411,3.274031,2.610974,0.709896,-3.773582,3.449743,,-1.991523,-0.723354,,,,4.894463,,4.15848,-0.079658,0.925569,0.613741,,1.306241,4.456763,1.717982,,,2.716777,-0.268105,0.763521,-4.374835,1.135979,2.502162,1.31815,-0.770261,-1.689907,2.661062,,0.904519,,0.488736,0.387518,0.170738,4.314838,1.237331,2.024483,1.348986,4.214332,,3.685336,1.976843,4.617297,5.535389,,3.376138,,5.381962,3.796283,-0.115696,4.132009,0.788105,-1.731826,-0.557596,-0.344278,0.721036,-3.101861,0.879781,2.744757,1.34374,4.855617,4.572865,3.224578,,,1.628555,,-6.167427,-0.977311,4.981491,2.140462,0.753652,4.150451,3.311038,1.171383,,-4.010999,,3.249887,4.158393,2.535499,0.156041,1.518269,0.960582,4.090543,,0.47913,1.971717,4.698431,3.728584,-5.846289,0.434902,3.148724,-2.752625,4.206639,0.83723,,0.025696,2.572229,0.829981,5.587492,-1.789286,3.084694,4.691377,3.601047,3.545312,0.165933,-3.5283,4.061797,4.052092,4.30933,0.606954,-0.583395,,5.2672,2.036479,0.538288,1.007829,,0.619255,,-0.053425,,-1.60928,2.462488,0.417172,4.546664,0.412704,0.925513,3.933251,-4.406553,1.437791,-0.884813,3.23377,-0.637311,,-5.853368,2.390864,1.149234,1.42165,-2.788431,,3.937151,-4.021296,0.997974,1.134971,,4.933886,,,-2.977471,2.701526,4.770158,,5.100338,1.884305,,3.258176,1.805187,0.27255,1.901243,,,4.512747,2.588849,2.359577,0.897112,3.854765,2.559846
1503366,2.100164,,2.967241,1.295728,-0.55518,3.158664,,2.320446,,,3.311055,,-1.373261,4.999801,2.105266,0.431095,-0.802608,1.06305,-0.343132,1.179331,-1.634703,1.442143,2.784135,,4.673549,-1.169603,1.562078,,-5.455996,,,,,4.626154,,4.396742,1.933782,2.785871,-4.259459,-0.136835,2.75571,-1.196986,,1.415458,3.645633,3.615042,1.80617,1.014587,,2.702982,,3.205296,,2.00893,2.09592,1.212536,2.375747,-1.936476,,4.177791,,1.633566,,5.43769,2.530674,4.968409,3.166377,,2.338764,3.868026,,3.45613,1.53166,2.648796,-0.708223,,,-0.698621,-0.542141,-4.927801,1.906656,2.436089,1.817022,10.397989,-4.442725,3.090064,0.949304,,0.965333,2.542917,,5.246044,3.82595,,0.388615,,,,1.001782,6.27009,5.273267,1.974986,2.165551,3.096724,2.126177,3.295722,-3.765848,,-4.112292,2.820783,,,-3.547588,2.004688,,,-2.075996,1.376322,,,4.78099,,4.369456,,4.710893,-2.250982,,2.397437,3.353334,1.320175,,,3.135269,-0.554363,3.546377,-0.389506,1.906151,2.477251,1.533908,-1.45491,-2.346189,4.825386,,0.712202,,2.50082,0.042316,1.603432,3.325601,1.726761,2.224987,2.921417,4.014559,2.113339,4.326562,3.889491,1.1266,3.516613,,3.524479,5.913012,5.494542,3.963025,0.174413,3.727145,2.023548,-3.096358,-2.089136,0.557449,1.791857,,1.395967,2.901511,1.376852,3.729451,1.152728,,4.9652,,4.217939,2.184681,,2.964294,4.151263,1.881828,0.381602,3.586516,2.00496,0.792729,5.957652,-7.250243,,4.795879,4.408468,2.979378,,0.983548,,,,1.6398,2.255997,3.948269,4.009885,-3.344345,-2.007249,4.109581,,5.31362,2.463367,,0.363438,,,5.276178,-3.900985,4.595399,5.690142,3.120822,2.911882,0.747704,,3.547317,3.699395,4.639845,-2.248692,0.10379,,5.357386,1.486951,,0.174629,2.47038,3.490217,,-2.111902,-0.982073,-1.300673,,1.017409,4.685781,-0.954754,,5.035483,,1.848247,-0.373412,3.250864,,,-5.569802,2.865881,0.919433,2.048559,-1.62386,,1.363528,-4.450574,-1.648465,1.533895,,5.315621,,,-3.801354,1.301637,1.574101,5.895984,2.76668,,,3.246356,0.967384,0.917313,1.718823,1.972783,,2.546167,3.142997,2.152223,0.009785,4.286627,2.816578
909750,4.3384,,2.977277,5.270304,0.994093,1.447157,5.237717,2.953987,3.465048,0.300049,2.790393,-0.584299,-0.085136,2.284059,2.915755,4.601211,0.526651,0.954647,0.14097,3.561628,3.012799,3.883346,5.269222,,2.241535,0.19215,4.936034,5.032592,-3.548693,4.229467,1.794352,,1.457418,,-4.750593,4.04781,4.642598,4.402906,-4.099449,-0.229312,3.367682,-1.386339,,1.408264,3.875283,3.8827,0.7334,4.340179,1.703156,4.379104,,2.151162,,1.808696,3.887735,3.92662,1.985027,-2.304541,,3.661391,,2.98505,,4.771536,2.202776,4.348408,1.824982,4.961352,3.564767,3.602675,,3.875268,4.583187,2.471779,0.338225,2.423655,,3.655847,0.794388,-5.196638,1.439833,4.441547,2.951354,6.964677,-2.741969,2.948498,1.411496,2.909363,1.90971,2.101628,-3.523461,4.089212,3.081838,,-2.403085,1.496571,3.112346,,5.272087,8.120971,4.988882,1.511917,2.671059,2.381918,3.20699,4.576452,-1.553817,,-1.872759,4.264954,1.808663,0.635252,-2.948174,2.47348,,-2.671493,-0.674072,1.326956,,,3.610693,,3.775351,-0.70546,3.856828,1.214119,,4.600463,2.491039,2.074855,,,5.08335,-1.639127,3.655326,1.188087,1.434292,2.456276,2.354752,4.601829,-0.775551,4.025163,,1.818511,,3.63251,-0.113811,2.21678,3.884966,3.06785,0.319015,1.487616,2.832225,0.192426,3.959389,3.999053,4.363088,5.256268,,3.624772,,4.376447,5.267566,0.99218,4.600163,4.235665,-1.574457,-0.530734,3.180928,1.171298,-1.607152,2.790221,3.61024,3.030109,4.512672,2.413259,1.543879,4.498287,,2.99086,,-6.485751,2.432311,5.26885,1.52551,2.506326,2.260849,2.429061,2.966681,,-3.384854,,4.600101,4.326536,4.601682,1.190003,3.285631,3.55425,3.760052,,1.924792,2.280723,4.293273,4.150239,-5.319366,2.061939,3.818989,-2.460967,3.863905,4.928669,,0.604424,0.283075,-0.66636,4.828714,-1.072962,5.241939,5.46429,3.711904,2.929296,1.050487,-5.075575,3.734727,4.56918,4.337737,1.883771,-1.449937,,5.219589,2.885996,-0.930538,-0.078287,,3.366588,,2.346563,-1.482816,0.784468,3.736062,3.166532,3.989544,1.005243,1.702384,3.720808,-1.890882,2.952781,2.782019,4.553872,-0.008521,,-1.904585,2.548735,0.902501,4.493626,-2.095791,,3.778099,0.216808,0.568402,1.128811,,5.257321,,,-2.80686,3.523773,2.584151,5.527532,4.985323,2.490483,,2.369128,3.71913,0.045749,1.877822,1.490523,,4.380198,2.433393,4.0092,4.6012,3.286192,3.68416
909779,,,2.305855,3.213089,-0.816128,0.845774,4.828496,2.861209,4.468851,1.980983,2.895611,3.169277,-2.121139,3.908954,2.164948,1.876547,-0.137315,0.559711,-0.061052,1.475611,-0.341999,2.946268,4.101721,,4.525105,-0.208358,5.235406,5.19565,-4.092843,4.906864,3.212205,,3.194304,4.238272,-4.499438,4.431703,2.96181,2.779136,-1.176429,-0.348201,2.459587,-3.054857,,1.736286,3.875923,3.885706,2.498568,3.055949,0.391817,3.730029,,2.266207,,2.227492,3.16349,3.180574,0.289736,,,3.189735,,2.168001,,5.292735,2.06525,4.557984,2.949539,4.103859,3.599246,3.413343,,,1.671354,3.779357,-1.520904,2.405462,,0.562158,2.48152,-4.463852,-1.74248,4.308427,3.02315,5.759614,-3.140726,2.43022,1.046484,1.074374,2.080489,2.216898,-2.875075,4.76446,2.557652,,-0.080065,1.87536,5.73918,,3.732874,7.494649,5.272489,1.521353,1.873322,5.302169,1.707204,3.235483,-0.308221,,-0.252431,3.637037,2.276643,0.808313,-2.385024,1.400898,,-0.166903,-3.000552,1.51667,,,3.169976,,2.450715,6.242758,3.397469,1.518424,,2.872128,1.501263,2.200298,,,3.046377,0.064793,1.63964,2.392926,0.749898,1.877046,0.669402,2.490099,-2.048838,4.184679,,,,3.546045,0.124911,-0.691607,3.88181,0.618239,1.922455,3.710264,4.597276,2.993168,3.924552,3.316098,4.216077,4.814615,,3.777634,4.014524,4.479391,4.238034,-0.301016,3.782811,1.730191,-1.788633,-2.304611,1.69167,2.225565,0.17712,0.672476,3.79919,2.651769,2.335853,1.705446,3.145691,3.421468,,3.128347,1.309843,-3.05097,3.824076,4.137138,0.858493,1.441581,3.277415,1.202518,2.83159,6.179484,0.242212,,4.160379,2.489426,3.920486,1.473442,2.798522,2.441379,3.090926,,,0.884989,4.333225,4.406879,-2.296083,2.053519,3.640777,-2.328143,4.111127,1.513086,,0.419637,2.516638,-1.479132,4.641399,-0.755592,2.80177,5.209233,3.563518,3.143995,2.671825,-0.396523,2.204198,4.598249,4.141976,1.918692,0.381216,,5.262273,2.790052,-1.120556,1.48854,0.958629,3.608814,,2.384815,-0.506716,-1.918494,2.866136,,4.274877,0.71875,2.087201,5.02895,-3.030948,1.255546,2.196567,3.46596,1.464305,,-4.046381,2.201092,0.773474,,-0.670793,,3.790515,-3.44763,0.395372,0.642461,,4.17996,,,,4.300333,4.394062,4.853542,3.911618,2.083902,,1.205119,2.159715,-0.691151,2.62601,1.456609,,4.215352,2.797731,1.793414,2.161537,3.235877,3.83743
907300,,3.550249,3.154691,4.553222,0.720855,0.82602,4.791872,2.540871,4.328994,3.481004,1.044008,4.439417,-0.7577,4.681845,0.954841,2.344152,0.298458,1.783008,0.857154,3.603187,-0.134618,4.16743,4.291281,1.88598,4.602453,-1.592387,4.959624,8.437672,-1.997513,4.784304,3.182194,1.025458,1.377955,4.552895,-4.518363,2.692738,4.431809,3.90574,-4.171066,0.676539,0.057223,-0.588321,2.733447,2.006777,3.992645,2.985453,1.724337,3.263884,3.623054,3.783711,4.018897,3.66458,3.020351,2.431731,1.761799,2.313716,1.674353,-2.070891,-0.133678,4.525305,3.198483,3.199537,2.15359,4.979345,2.394334,4.858755,0.892541,5.259175,1.207866,2.590644,2.456844,,2.441233,4.066814,-0.311754,4.475208,2.744868,0.81797,1.110205,-4.434867,3.865371,4.606865,2.453483,7.498155,-5.192481,3.191411,1.458348,2.759015,2.970836,2.278707,-2.481317,5.195639,4.084522,-4.438137,0.094175,1.816922,3.998106,3.751942,3.02961,6.560884,3.020128,1.703613,3.008753,2.254014,2.582405,3.245544,-2.268922,2.995201,1.038553,3.269024,2.510303,3.226356,-2.142162,1.933498,4.549758,0.479096,-1.853762,-0.18055,4.082411,2.366346,3.914263,3.265017,3.420105,4.722125,4.315693,1.733168,3.173035,3.639228,3.110987,1.256002,3.161982,1.263819,3.35543,-0.876281,-0.361528,-3.732194,2.0443,1.930688,1.547331,1.086557,-1.360199,3.459791,3.076881,,-1.458725,3.746512,0.399285,2.434578,2.677839,1.608482,1.923811,0.838845,4.437269,0.93049,3.648118,3.254346,4.501459,5.05305,-3.045827,3.758931,5.284939,5.43871,4.744687,0.472207,4.550345,2.412969,,-0.837705,2.54569,1.858684,,2.111328,3.929151,2.909525,2.985415,3.939431,3.426594,4.658867,2.495853,3.905399,1.009024,-1.626779,1.607481,4.934875,-3.283442,-0.073777,3.316009,1.920895,0.634729,6.475113,,0.516083,3.415596,4.069,4.72106,3.80033,3.223903,4.947591,3.801361,2.930546,,2.29065,5.482319,2.395183,-1.365243,1.953481,3.766695,-2.228477,5.400859,2.540706,2.642278,0.203537,2.507714,1.74892,4.862895,-0.584926,4.29895,6.214341,4.240159,3.426594,1.257616,-2.67296,3.265891,4.070505,5.066745,1.502726,1.645125,0.824319,5.116831,2.956908,0.791694,0.647827,-0.142144,1.617226,-2.002589,1.353967,1.993492,-0.555278,3.963765,1.663069,4.443025,0.030322,2.331643,4.988654,-1.469341,1.51822,1.895741,4.774547,-0.384355,-3.468577,-5.276567,2.281338,0.988833,,-0.096975,5.244103,4.057921,-1.348732,-0.058409,0.869659,0.037166,5.252543,3.687999,4.130621,-3.527682,4.6951,4.369164,5.205706,4.12642,3.523685,0.815188,3.312325,3.339577,0.404315,1.685113,1.700495,-2.474845,4.474945,1.658535,2.338642,2.871079,3.753185,4.964466
908147,,,,,,-0.566101,,1.905848,,,1.903206,,,3.213471,1.960961,,,,,,,,,,1.656391,-2.874129,,,,,,,,3.185967,,3.158724,,,-7.163839,,1.467899,-5.781108,,,,3.002069,0.241288,,,,,-1.349596,,,,,,-5.137541,,,,,,,-1.583972,2.888188,1.336242,,,1.593135,,,,-1.846553,,,,,-3.189866,-5.888484,-0.785633,,1.859893,,-6.132434,2.613354,0.731497,,-2.223339,1.298451,,2.475557,2.460887,,-0.703601,,,,,6.529432,,0.959876,,,,2.326261,,,-5.606301,,,,,0.961298,,,,-0.18301,,,2.493377,,1.296535,,,,,,,,,,,-2.528772,-2.207276,-0.448351,,,,,,,,,,,,,2.556265,-0.872594,-0.615805,,3.450559,-0.182677,,2.409636,,,,1.458797,2.575917,,,,,0.73612,,,,1.959087,,,,,,,,-0.462518,,2.502194,-0.567032,,2.010625,,-1.883814,-0.26326,1.206126,,-0.036625,5.84499,,,,-0.102816,,,,,,,,,,3.310849,-5.467328,,1.547331,,,,,-0.310407,,,,0.324314,,,,,0.375686,,,2.896218,3.223649,,-1.832701,,,,,,-1.447844,2.733524,,,-6.774034,,,,,0.569253,,,,0.423334,,,,,,,,,-5.219996,,,,-4.578921,0.996412,,,,,,2.517634,2.062273,4.463419,,,,2.403396,,,,0.91092,,,,,,1.434804,
1303900,,,3.186352,2.421605,-0.387964,3.027509,5.232987,2.808386,4.149958,1.6758,3.274792,2.023627,-0.970835,4.444041,2.023241,4.357361,-0.944207,1.967924,0.743459,3.681537,-2.187438,3.673554,4.556171,1.751842,4.932249,2.321748,4.866884,5.688368,-1.189765,5.802608,2.159012,,1.459005,4.753949,-4.841162,4.636552,5.280248,2.866023,-3.538969,2.294827,3.28789,-3.501014,,2.004135,1.919692,4.137895,1.937688,4.086861,0.638462,3.005529,,3.757543,2.643448,1.787208,4.003919,3.075094,-0.028819,-2.76513,-1.244362,4.3115,,5.023197,,5.655431,0.72303,5.049314,2.352232,5.327701,4.084843,3.736786,1.280536,,2.82784,4.932249,-0.175002,3.352966,3.855772,-0.499234,3.440354,-2.43395,1.10885,3.925237,2.230097,,-1.625927,3.440354,3.72646,3.441299,4.133501,2.616786,-1.919232,4.646694,4.326862,,0.327078,1.551258,3.762336,2.463889,4.324081,5.248978,5.451669,1.779888,4.37913,3.316889,4.049764,2.613634,1.445914,2.35003,-0.822137,3.185706,2.936705,1.995158,-3.254992,2.875258,4.360267,-0.499734,,1.081355,3.713654,,3.104041,3.000689,2.547085,,3.367053,1.391658,,4.128235,2.462923,1.029873,,,5.449757,2.802503,4.110138,1.974241,1.150639,1.854905,1.227996,2.770693,-0.835478,3.330157,3.189375,,,3.638241,0.44317,-1.864897,3.958223,3.711768,2.106738,2.966764,4.687188,2.187091,3.839904,4.002658,3.999748,5.698133,,3.264867,3.083051,5.06146,5.391178,1.046203,5.242274,2.541092,-2.217454,-3.561991,-0.344463,3.246058,-0.792693,0.237282,2.881577,2.774483,0.591606,2.52781,3.493341,4.790624,2.708279,3.960755,3.092535,-2.864628,2.827589,4.229892,-2.97794,0.248066,4.979284,2.026574,2.002877,6.816283,-6.501219,,5.073321,3.632259,4.715137,3.806828,2.659256,4.654257,3.061258,,,1.6612,5.742939,4.016679,-1.57149,1.853413,4.356644,-3.153185,3.845294,0.817282,,-2.058532,3.082944,1.381261,5.568642,0.855007,4.295039,4.833143,3.467247,3.241646,2.592724,-1.384065,2.436677,4.194076,5.049792,1.165568,1.696618,,5.330597,3.09338,0.977533,1.456658,2.629664,3.084439,-1.624345,1.413136,-3.08963,-0.605331,3.283955,3.508245,3.601783,1.080655,1.89594,5.241104,-3.825865,2.718607,0.666699,4.862877,-0.372416,,-1.506533,0.968728,-4.023567,,-0.835486,4.391417,3.1737,-1.058585,-0.181435,2.631979,,4.87114,,2.254647,-3.800986,4.494591,3.80931,5.915231,2.503674,3.977703,,3.399006,3.430442,-0.29865,1.417417,1.552916,,3.092973,2.817311,3.834176,4.60702,4.932249,4.323553
1240124,,,,,,4.13648,,3.655387,,,-0.616925,,,5.442093,4.530653,,,,,,,,,,3.795198,0.349294,,,,,,,,6.024929,,6.317534,,,-2.564039,,2.717183,1.67183,,,,5.584253,3.337897,,,,,4.658895,,,,,,-0.385275,,,,,,,3.410311,6.330088,4.597819,,,5.256598,,,,2.357157,,,,,3.106828,-3.418686,5.371965,,5.107512,,-0.733148,4.692151,2.434611,,2.229868,2.809567,,6.157044,5.330149,,1.303977,,,,,10.81759,,2.689478,,,,5.126286,,,2.389701,,,,,4.22416,,,,-4.96303,,,5.991352,,4.74574,,,,,,,,,,,-0.194042,2.877233,-1.443123,,,,,,,,,,,,,4.926493,4.847315,2.878379,3.966882,5.764338,1.450298,5.484919,2.974574,,,,4.683288,6.39784,,,,,4.358375,,,,2.133342,,,,,,,,3.04853,,3.763386,2.283234,,0.055069,,2.725355,4.247098,5.99991,,2.142112,6.484909,,,,5.499728,,,,,,,,,,6.245724,-2.016492,,5.116157,,,,,0.883051,,,,-1.609928,,,,,0.128081,,,5.767785,6.330088,,1.659655,,,,,,2.692464,2.116441,,,1.808414,,,,,3.258925,,,,4.705756,,,,,,,,,-0.571738,,,,1.830742,3.390271,,,,,,2.506724,6.046669,6.868833,,,,4.72065,,,,2.395183,,,,,,4.331502,
